record_id,source_file,chunk_id,instruction_template_id,instruction,response_words
1,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0037,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
2,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0031,2,Extract the important support-engineer actions described in this corpus section.,350
3,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0023,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
4,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0271,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
5,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0087,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
6,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0361,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
7,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0022,2,Extract the important support-engineer actions described in this corpus section.,350
8,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0313,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
9,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0581,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
10,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0029,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
11,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0885,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
12,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0702,2,Extract the important support-engineer actions described in this corpus section.,350
13,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0537,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
14,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0003,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
15,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0297,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
16,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0047,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
17,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0230,2,Extract the important support-engineer actions described in this corpus section.,350
18,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0445,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
19,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0039,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
20,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0114,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
21,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0086,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
22,nist_sp800_61r3_incident_response.txt,nist_sp800_61r3_incident_response.txt_chunk_0026,2,Extract the important support-engineer actions described in this corpus section.,350
23,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0096,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
24,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0223,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
25,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0452,5,Create a clear Tier-1/Tier-2 helpdesk knowledge-base note from this corpus section.,350
26,ubuntu_server_documentation.txt,ubuntu_server_documentation.txt_chunk_0507,1,Summarize the key IT helpdesk guidance from this domain corpus section.,350
27,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0320,2,Extract the important support-engineer actions described in this corpus section.,350
28,redhat_rhel7_storage_administration_guide.txt,redhat_rhel7_storage_administration_guide.txt_chunk_0068,3,Rewrite this corpus section as concise operational guidance for an IT support analyst.,350
29,redhat_rhel7_system_administrators_guide.txt,redhat_rhel7_system_administrators_guide.txt_chunk_0453,4,Identify the main troubleshooting or incident-resolution points from this corpus section.,350
